Day,Month,Year,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,F_21,F_22,F_23,F_24,F_25,F_26,F_27,F_28,F_29,F_30,F_31,F_32,F_33,F_34,F_35,F_36,F_37,F_38,F_39,F_40,F_41,F_42,F_43,F_44,F_45,F_46,F_47,F_48,F_49,F_50,F_51,F_52,F_53,F_54,F_55,F_56,F_57,F_58,F_59,F_60,F_61,F_62,F_63,F_64,F_65,F_66,F_67,F_68,F_69,F_70,F_71,F_72,F_73,F_74,F_75,F_76,F_77,F_78,F_79,F_80,F_81,F_82,F_83,F_84,F_85,F_86,F_87,F_88,F_89,F_90,F_91,F_92,F_93,F_94,F_95,F_96,F_97,F_98,F_99,F_100
10,Jan,2010,2863.32,6034.49,799.56,286.79,1296.44,496.59,6089.92,916.01,6106.67,360.61,1025.85,354.47,477.77,1028.66,265.7,926.04,3258.51,1265.48,151.08,283.98,796.91,102.43,953.34,7451.86,6398.82,6822.1,5150.52,43.66,2561.29,1235.01,714.12,3688.16,8260.55,756.63,890.64,1400.66,7316.27,4365.3,1368.2,8575.82,257.29,4329.46,621.01,2695.05,485.93,140.45,1427.11,7456.07,2171.72,8760.77,316.48,476.1,6007.5,148.73,1256.53,854.02,748.43,7408.12,9342.67,1251.11,7709.84,1367.99,517.53,7725.33,6008.77,816.02,2429.38,4843.29,4469.2,301.56,8169.9,3641.5,7181.93,2167.07,8731.46,8863.77,340.83,329.03,50.36,3835.12,7585.36,42.21,5295.86,3440.61,2454.66,886.26,980.33,477.96,831.88,6885.63,143.25,4431.56,382.62,3246.73,1693.68,7187.78,7801.14,428.78,2069.95,26.02
11,Jan,2010,2921.73,5895.76,799.21,282.76,1276.46,498.11,6134.62,905.82,6111.92,360.32,1018.9,348.16,480.11,1034.44,267.07,912.53,3268.44,1249.27,150.3,280.03,783.15,106.24,937.13,7450.23,6357.11,6764.67,5223.48,43.78,2532.3,1225.99,717.87,3611.67,8364.25,750.96,895.27,1381.16,7147.1,4314.27,1366.14,8640.68,257.36,4323.93,612.24,2705.13,492.71,140.06,1387.11,7363.19,2187.63,8899.44,311.32,475.81,5906.8,147.61,1252.03,859.66,740.47,7411.24,9374.63,1257.15,7550.05,1390.53,517.01,7710.2,6135.26,837.54,2489.36,4907.89,4525.94,301.03,8202.25,3604.39,7303.49,2164.13,8706.2,9029.02,338.74,328.06,50.27,3753.49,7683.42,42.17,5282.75,3470.03,2479.91,883.53,962.79,478.67,815.81,6917.15,142.87,4550.07,382.31,3289.39,1675.22,7103.84,7778.41,426.25,2073.45,26.02
12,Jan,2010,2886.32,5861.56,794.81,279.78,1281.54,497.79,6221.28,902.93,6145.39,360.41,1020.67,350.97,475.07,1045.82,268.66,900.86,3323.45,1245.21,149,277.73,780.32,107.01,937.84,7464.29,6324.3,6797.36,5298.96,44.06,2498.11,1212,724.51,3631.19,8449.84,747.19,879.81,1359.31,7072.05,4307.13,1362.38,8691,260.7,4250.42,608.84,2688.42,491.44,139.61,1406.7,7327.42,2164.62,8856.12,310.23,466.58,5961.12,146.55,1251.87,860.83,749.9,7440.63,9392.63,1257.34,7559.18,1409.71,520.16,7773.75,6146.7,848.9,2489.91,4935.58,4502.72,300.23,8298.48,3599.3,7286.75,2179.65,8740.08,9051.41,340.45,328.02,49.63,3747.64,7635.32,42.13,5363.15,3481.62,2498.83,883.26,951.64,475.22,829.5,7002.72,143.73,4589.23,379,3280.21,1675.63,7096.12,7766.46,424.2,2060.62,25.81
13,Jan,2010,2935.1,5733.28,783.94,274.28,1258.28,496.37,6265.11,915.07,6148.52,357.53,1015.1,350.01,478.3,1050.38,272.65,900.83,3333.67,1218.83,148.06,277.19,765.3,110.52,926.95,7360.22,6338.35,6844.75,5415.53,43.98,2488.81,1205.69,722.82,3577.72,8444.92,745.73,886.13,1345.82,7065.65,4257.39,1346.55,8874.63,261.57,4168.96,605.53,2689.58,502.95,138.66,1374.76,7320.49,2197.57,8948.58,305.92,466.46,5911.56,144.52,1255.72,865.01,752.48,7385.39,9435.65,1256.08,7397.49,1446.87,516.48,7757.46,6194.62,857.29,2559.07,4896.88,4577.75,298.2,8209.53,3573.6,7422.52,2217.47,8840.02,9177.84,340.01,328.04,49.55,3687.96,7680.18,41.49,5331.46,3442.36,2521.48,878.53,936.12,472.91,820.82,6974.26,143.83,4645.96,382.16,3324.88,1670.41,6970.56,7692.43,419.59,2057.66,25.86
14,Jan,2010,3005.75,5719.55,786.84,273.44,1225.55,497.9,6355.15,922.64,6105.55,349.72,1008.75,344.45,479.66,1048.57,272.11,905.35,3359.31,1197.37,147.3,276.25,749.85,115.01,925.72,7388.83,6295.87,6846.25,5434.05,43.78,2470.35,1212.8,720.99,3552.58,8523.93,759.07,898.59,1329.26,6976.18,4183.32,1334.8,8932.09,259.43,4103.15,602.11,2688.18,508.31,137.18,1342.91,7262.44,2211.62,8946.54,299.09,465.2,5826.04,142.7,1262.38,873.44,743.91,7259.37,9512.4,1253.82,7220.1,1475.05,514.4,7876.97,6276.13,869.82,2652.5,4862.49,4599.97,298.3,8119.29,3535.95,7557.26,2254.47,8903.71,9352.99,346.4,328.49,50.08,3623.61,7727.15,40.42,5211.38,3451.72,2541.68,867.29,921.92,473.2,815.56,7002.36,144.68,4705.35,383.27,3364.54,1663.61,6833.14,7720.99,419.52,2045.04,26.05
15,Jan,2010,3008.55,5682.45,784.13,272.08,1221.44,494.56,6421.19,927.42,6159.7,351.37,1024.24,345.15,477.22,1058.64,272.62,915.3,3409.77,1198.86,146.34,279.07,751.31,115.8,923.78,7370.46,6324.03,6846.13,5450.02,43.91,2472.52,1207.63,724.25,3543.2,8452.52,753.74,896.49,1328.91,6999.77,4139.65,1331.52,8900.2,263.14,4073.72,604.75,2686.47,505.87,135.03,1361.93,7113.45,2207.63,8876.81,296.55,465.14,5869.16,142.89,1270.78,854.79,750.76,7232.4,9550.5,1257.98,7198.57,1480.48,516.13,7927.93,6275.58,874.69,2626.75,4875.5,4608.95,297.52,8218.07,3580.87,7483.54,2255.71,8801.72,9347.78,348.83,326.27,49.79,3603.45,7818.35,40.62,5275.09,3470.55,2516.3,870.57,932.96,474.92,820.96,6969.7,145.74,4754,381.12,3324.31,1672.7,6883.78,7671.75,417.49,2018.86,25.95
16,Jan,2010,2949.32,5679.24,778.11,272.06,1230.63,490.42,6422.85,943.75,6210.16,347.54,1050.99,349.85,480.53,1058.55,276.06,915.75,3483.2,1208.12,148.43,281.87,776.61,111.7,933.86,7376.89,6404.5,6851.51,5426.92,43.46,2487.97,1204.09,747.37,3648.45,8328.77,752.04,889.08,1352.63,7029.6,4182.74,1329.63,8871.92,268.23,4192.61,608.62,2665.34,505.22,132.36,1440.44,7122.57,2162.33,8773.03,296.79,454.35,6061.91,143.66,1296.74,836.75,764.28,7230.19,9476.12,1274.08,7412.84,1456.63,513.92,7816.32,6242.73,876.58,2571.84,4928.23,4551.41,296.22,8449.41,3616.68,7177.28,2223.02,8744.11,9209.23,351.33,324.81,48.32,3665.23,7688.13,41.59,5435.43,3451.23,2466.41,875.77,925.44,479.34,834.19,7118.94,146.14,4725,380.41,3146.51,1664.32,7029.94,7624.7,416.67,2019.08,26.13
17,Jan,2010,2958.05,5600.05,774.57,271.83,1228.6,491.17,6420.26,956.49,6121.96,343.22,1065.77,350.74,483.57,1066.95,276.31,920.14,3517.46,1190.84,147.41,283.81,772.15,113.02,932.04,7373.01,6384.82,6886.01,5438.52,43.35,2503.48,1209.57,761.65,3695.02,8361.62,756.61,885.02,1342.39,7013.52,4135.22,1323.81,8859.93,270.56,4120.05,612.69,2699.7,504.88,131.41,1436.2,7125.71,2154.06,8821.31,295.01,449.51,6114.51,142.54,1306.75,825.96,769.17,7281.34,9484.1,1299.04,7304.13,1467.89,520.71,7730.34,6249.86,880.49,2569.98,4924.49,4508.64,293.68,8487.94,3559.2,7192.38,2250.35,8755.04,9331.61,357.66,323.21,48.31,3619.97,7699.61,41.23,5471,3423.59,2460.51,879.87,927.38,480.28,827.22,7198.13,146.58,4817.17,380.47,3145.41,1647.41,7036.71,7516.84,414.51,1984.09,25.73
18,Jan,2010,2956.04,5598.91,776.79,273.83,1237.17,487.33,6415.64,959.32,6140.26,340.67,1082.13,348.81,484.81,1058.23,280.9,914.27,3544.23,1184.26,147.88,283.23,773.13,112.33,932.53,7319.41,6493.62,6864.05,5420.65,43.24,2516.85,1208.19,773.2,3692.58,8266.94,764.55,882.68,1334.4,6932.04,4105.25,1331.65,8779.69,271.18,4081.58,619.68,2728.61,505.22,130.56,1456.89,7064.89,2113.68,8847.09,293.76,445.51,6109.38,143.99,1306.61,808.9,785.33,7376.36,9619.67,1294.25,7390.54,1447.87,523.35,7697.11,6276.7,874.42,2553.7,4979.67,4509.7,288.72,8675.33,3551.04,7117.29,2246.41,8629.28,9396.93,355.46,322.37,47.99,3607.68,7763.21,41.52,5473.75,3449.01,2454.91,890.69,923.32,488.46,835.26,7188.99,146.82,4817.41,383.29,3089.82,1638.67,7141.72,7526.66,410.41,1983.77,25.63
19,Jan,2010,2946.08,5463.47,776.16,273.13,1223.13,480.6,6444.12,956.65,6136.99,341.28,1106.97,347.03,491.92,1066.42,283.09,894.94,3572.49,1186.97,145.91,284.62,758.85,111.99,926.94,7294.53,6531.74,6899.46,5429.01,42.58,2525.08,1212.7,775.88,3650.24,8235.55,756.13,887.25,1325.25,6919.77,4061.96,1340.59,8895.95,273.78,4048.64,612.04,2735.19,508.3,128.91,1459.21,7057.72,2115.52,8806.05,293.25,448.33,6145.62,142.66,1315.99,799.36,795.97,7463.79,9789.66,1285.4,7418.01,1465.01,527.02,7635.3,6252.67,875.11,2532.77,5012.47,4514.89,287.64,8800.56,3570.79,7082.13,2238.46,8565.57,9443.19,359.41,318.98,47.99,3592.4,7732.76,41.58,5480.4,3473.12,2460.72,891.39,917.52,493,836.92,7287.28,148.53,4846.89,387.3,3057.65,1639.92,7199.31,7527.28,408.67,2007.35,25.46
20,Jan,2010,2849.25,5530.95,777.31,275.39,1238.59,476.12,6423.11,975.19,6228.83,343.71,1146.49,351.31,495.86,1054.45,281.65,909.63,3628.46,1193.73,147.71,288.68,781.86,108.26,937.51,7330.97,6642.41,6923.77,5422.14,42.16,2531.68,1208.6,789.21,3753.08,8087.89,752.83,888.1,1357.84,6893.38,4106.95,1342.51,8884.73,281.89,4098.74,618.45,2727.05,504.41,125.96,1537.08,6997.71,2053,8746.3,296.27,437.12,6297.85,141.15,1308.34,777.06,810.77,7546.39,9631.39,1286.59,7603.62,1460.05,531.47,7557.57,6222.42,861.41,2490.24,5045.67,4426.12,285.31,8977.54,3605.18,6870.25,2201.95,8447.25,9348.39,358.92,315,46.69,3646.32,7556.69,42.79,5616.21,3469.81,2417.2,897.84,913.36,502.84,855.97,7482.18,149.79,4817.5,391.66,2899.89,1644.23,7337.34,7472.18,410.07,1990.72,25.15
21,Jan,2010,2802.96,5565.96,776.46,275.21,1245.84,473.59,6421.92,985.43,6268.82,342.74,1173.08,358.2,494.64,1058.57,287.16,913.1,3695.69,1196.67,148.94,291.21,796.42,102.68,951.02,7312.78,6707.03,6926.24,5400.89,42.06,2556.05,1210.86,809.28,3830.44,8062.05,748.3,873.14,1372.71,6953.57,4173.01,1331.83,8796.57,287.14,4212.91,626.32,2727.06,504.55,123.55,1589.83,6987.24,2027.11,8736.95,295.86,429.26,6318.4,140.64,1316.66,752.63,829.66,7501.64,9697.97,1284.02,7751.57,1441.99,538.45,7535.99,6187.56,855.23,2447.92,5097.36,4363.48,285.84,9194.66,3649.66,6790.87,2170.1,8352.57,9135.6,358.41,309.94,45.65,3654.5,7459.77,43.64,5708.51,3496.18,2394.33,899.78,909.42,507.82,858.79,7544.7,150.09,4813.25,394.06,2809,1642.74,7456.18,7405.15,409.18,1995.49,24.91
1,Feb,2010,2759,5507.53,776.31,275.35,1248.74,470.54,6423.49,990.11,6279.12,341,1192.26,361.77,490.42,1052.71,286.63,903.6,3721.5,1197.38,150.46,295.42,804.12,101.25,972.99,7264.54,6716.28,6931.4,5385.91,42.18,2550.43,1216.12,817.34,3896.03,8086.8,742.49,865.07,1397.38,6927.51,4200.78,1330.12,8726.74,291.19,4204.45,627.85,2684.19,502.63,122.68,1629.49,6992.47,1999.08,8665.87,293.49,423.03,6420.52,140.62,1317.09,738.46,832.46,7459.9,9708.88,1294.18,7795.89,1448.09,545.66,7534.55,6170.49,858.39,2421.25,5122.16,4344.06,283.27,9414.13,3677.87,6599.4,2149.43,8346.38,9223.68,363.71,307.29,45.17,3699.15,7467.34,44.6,5855.26,3548.81,2389.61,906.13,904.12,507.07,866.37,7600.31,150.19,4745.89,395.77,2727.5,1639.94,7459.89,7409.09,413.78,2002,24.71
2,Feb,2010,2813.28,5480.23,784.27,274.32,1220.11,468.19,6420.48,994.96,6262.28,338.23,1183.37,355.99,491.43,1054.4,291.94,915.86,3677.12,1183.22,146.71,293.94,781.14,105.55,960.23,7352.52,6732.7,6926,5428.82,42.06,2542.46,1220.11,806.93,3838.39,8195.52,747.23,873.53,1360.4,6903.46,4100.96,1326.27,8815.36,288.32,4084.5,627.87,2709.99,500.91,122.94,1589.83,6970.36,1985.12,8727.04,289.35,425.76,6398.07,139.05,1335.28,747.38,829.9,7402.57,9875.71,1268.28,7671,1472.72,544.55,7569.2,6195.93,866.77,2485.71,5095.56,4394.04,281.15,9302.72,3629.93,6742.81,2180.92,8396.68,9455.49,365.93,307.09,44.89,3625.54,7606.67,43.92,5820.9,3557.18,2416.64,896.12,905.06,507.51,851.35,7542.41,152.38,4791.65,397.99,2803.86,1638.71,7275.76,7406.82,411.4,1985.66,24.6
3,Feb,2010,2818.94,5463.54,785.27,271.29,1204.2,463.22,6528.23,993.31,6254.18,337.67,1173.32,351.79,493.87,1056.53,294.64,911.76,3689.1,1165.6,146.44,294.01,769.95,108.2,964.45,7310.05,6742.59,6939.54,5409.89,40.97,2538.67,1205.86,817.81,3778.19,8264.16,746.71,882.32,1345.18,6828.72,4007.71,1319.92,8927.68,287.61,4013.32,637.41,2733.68,508.29,123.43,1589.19,7010.68,1963.09,8788.14,288.5,423.95,6393.37,138.48,1333.98,746.42,832.48,7367.28,10031.23,1280.13,7579.97,1474.26,546.36,7628.53,6228.64,883.39,2493.16,5136.66,4402.48,276.47,9247.1,3649.51,6787.69,2200.19,8364.83,9542.7,369.55,303.09,45.22,3560.56,7655.92,44.19,5823.17,3537.29,2397.18,889.47,910.12,509,853.97,7515,152.72,4881.98,395.34,2806.25,1622.34,7195.17,7320.94,409.7,1981,24.4
4,Feb,2010,2861.67,5397.3,781.47,268.19,1197.52,466.75,6586.17,997.56,6240.9,332.83,1163.55,347.06,496.76,1061.11,298.28,903.89,3675.23,1142.31,145.58,291.64,755.28,112.02,960.47,7344.78,6705.58,6902.55,5413.61,41.23,2509.77,1199.43,805.98,3784.01,8391.58,749.72,882.3,1302.17,6780.68,3947.76,1312.09,8942.11,289.08,3976.04,637.64,2713.73,509.9,124.79,1567.54,6903.3,1976.96,9009.48,284.4,426.33,6258.99,137.5,1354.5,741.08,827.1,7319.09,10088.8,1264.6,7436.65,1506.48,544.17,7822.68,6287.9,886.31,2542.77,5191.25,4432.86,277.25,9177.94,3591.27,6908.49,2200.36,8336.97,9609.58,377.17,306.68,44.81,3517.84,7715.9,43.96,5779.71,3531.24,2419.85,881.92,909.89,515.96,841.53,7537.4,151.85,5010.94,395.99,2813.54,1611.25,7068.16,7292.71,407.85,1979.64,24.52
5,Feb,2010,2808.07,5325.55,779.26,266.83,1202.81,458.13,6583.53,1012.66,6273.32,332.87,1177.36,347.55,494.91,1071.8,298.19,905.26,3692.07,1146.09,146.05,294.72,754.66,109.86,967.16,7304.7,6773.03,6976.42,5435.4,41.41,2490.41,1200.03,821.88,3848.07,8392.5,758.93,882.21,1298.18,6807.74,3940.76,1322.11,9042.87,292.74,4022.57,647.16,2744.6,507.68,124.83,1577.53,6810.08,1951.95,8921.69,285.34,420.37,6265.59,136.93,1352.92,733.48,835.74,7360.4,10150.17,1259.77,7420.39,1499.47,544.31,7784.05,6323.68,884.37,2532.12,5217.01,4408.41,276.29,9337.18,3572.97,6750.26,2202.11,8290.25,9552.37,382.83,302.63,44.24,3473.66,7621.15,44.51,5885.92,3529.94,2403.89,878.22,901.07,516.07,856.42,7609.54,151.59,4978.52,398.42,2802.53,1592.23,7065.49,7300.95,406.57,1981.41,24.37
6,Feb,2010,2773.32,5292,778.34,267.04,1224.44,454.77,6588.45,1020.45,6382.16,335.09,1202.2,356.79,491.83,1072.02,300.62,913.46,3781.73,1133.89,147.21,295.14,759.71,105.97,971.65,7284.68,6830.03,7150.55,5371.28,41.7,2492.4,1183.75,841.64,3981.54,8358.01,759.31,871.43,1309.15,6809.66,3962.72,1303.09,8904.7,302.57,4050.14,647.14,2714.03,504.36,123.96,1665.68,6755.8,1922.23,8836.35,286.22,408.66,6262.84,139.77,1352.63,722.08,843.4,7499.01,10148.97,1265.04,7505.74,1479.28,551.04,7763.68,6318.3,888.42,2473.51,5288.23,4322.71,276.5,9707.93,3571.03,6506.79,2174.58,8263.21,9400.22,381.62,301.99,43.52,3529.46,7545.95,45.65,5976.89,3497.75,2381.91,879.17,894.2,517.16,874.69,7644.71,153.99,4943.56,401.02,2739.5,1601.88,7051.09,7292.53,408.57,1997.64,24.09
